commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply
Ugyut5zXCpCi1z2wY2h4AaABAg,_pO7BRNdJdc,,,,@erinthomas5463,UCUpc2NVob1ZSuAUPbHLWmXg,"Thank you for this, I&#39;m smiling from ear to ear at how lovely your playing and get up are 😄 thank you for sharing ❤  and your instrument is unbelievably cool!!!",2025-09-22T18:12:04Z,2025-09-22T18:13:04Z,0,1,,False
UgzU6HcFXIP1Bitl2Dl4AaABAg,_pO7BRNdJdc,,,,@SimenRussnes,UCvgL0CmsU4q9trPIOn8IP2A,They got home boy good 😂,2025-09-22T18:11:49Z,2025-09-22T18:11:49Z,0,0,,False
UgzS8mgqtdYAiC8R3ZF4AaABAg,_pO7BRNdJdc,,,,@Aos-ar,UCLG6yZNNv1se8cwc70y2sfQ,Algorythm knew I needed this,2025-09-22T17:09:35Z,2025-09-22T17:09:35Z,0,0,,False
Ugy4xR1PTp7BiqnDAcN4AaABAg,_pO7BRNdJdc,,,,@kappal3215,UCFBbl1qOxZw3n_F4Sv6P7FQ,brick by brick,2025-09-22T16:37:25Z,2025-09-22T16:37:25Z,0,0,,False
UgxVobqRgQvAN1ozW114AaABAg,_pO7BRNdJdc,,,,@Lopyz,UCngg85xc8jiHbEuIe3E9Unw,Incredible playing John,2025-09-22T16:08:09Z,2025-09-22T16:08:09Z,0,1,,False
UgwJrfrH1_RWEqlPDnh4AaABAg,_pO7BRNdJdc,,,,@velzhang6364,UCjY1zagRm-teFBGmySH9DQw,好听😊,2025-09-22T14:54:17Z,2025-09-22T14:54:17Z,0,0,,False
Ugw1CgSwc8vP6XPRtPl4AaABAg,_pO7BRNdJdc,,,,@rachelegiacomelli,UCvaGOvRs20EH8YYjC77OeXQ,slay as hell,2025-09-22T14:48:41Z,2025-09-22T14:48:41Z,0,0,,False
UgyomNezYKLCy2GAPD54AaABAg,_pO7BRNdJdc,,,,@Senzotan,UCAt0m9jWIDYDb4Xe8Nu9OrA,The soundtrack to starving 45 million.,2025-09-22T14:45:34Z,2025-09-22T14:45:34Z,0,0,,False
UgxgPh5tfnhmafFMOp54AaABAg,_pO7BRNdJdc,,,,@lenaproblems,UCFDK9gcmIScEa6vLRRFZUpQ,lovely video ! looking forward to more 😄,2025-09-22T14:39:44Z,2025-09-22T14:39:44Z,0,1,,False
UgwyO1s9AYudwmm21h94AaABAg,_pO7BRNdJdc,,,,@FreyaFjords,UCzJkDAVc9m8RTrj_3C97avg,You played well!,2025-09-22T14:19:19Z,2025-09-22T14:19:19Z,0,0,,False
