author_key,display_name,authorChannelId,n_comments,cluster,avg_len,reply_share,mean_likes,sent_mean,sent_std,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,sample_comment
UC2l2XGyTDMDH5AOMv4ws-nA,@GladysIsola-r9b,UC2l2XGyTDMDH5AOMv4ws-nA,1,4,8.0,0.0,1.0,0.7506,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Oh wow 😲 I need to buy that..Cool
UC2tcQjHWemNXK_URjSJoAAw,@theportraitrealityshow6629,UC2tcQjHWemNXK_URjSJoAAw,1,5,5.0,0.0,11.0,0.9118,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Wow Miss Universe 2015 ❤❤
UC30G8R5nHBoB9dMUvRTu5tA,@irisrukhsana,UC30G8R5nHBoB9dMUvRTu5tA,1,0,7.0,0.0,0.0,0.3182,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,can someone please give all celebrity&#39;s names
UC32d0D-nhA7OxPRyMeJtLMw,@laraemily3004,UC32d0D-nhA7OxPRyMeJtLMw,1,4,5.0,0.0,0.0,0.6369,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Rebecca Patricia Armstrong maravilhosa ❤
UC37oBv-x4lYEjLA7xMlaMlA,@Pretty_Fantastic,UC37oBv-x4lYEjLA7xMlaMlA,1,0,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Where can I buy it? I can’t find it anywhere
UC3G5YrHDNtv_yfSEL8ly0mg,@tkatrich3,UC3G5YrHDNtv_yfSEL8ly0mg,1,0,4.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Are you really 55?
UC3QsWuMKd00C_jvwhsJ2N_g,@bookofpeace,UC3QsWuMKd00C_jvwhsJ2N_g,1,3,5.0,0.0,0.0,0.8684,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Great video. Great organization !!
UC3Ya4s0bHApD6C8o968dMMw,@corinaviolleau,UC3Ya4s0bHApD6C8o968dMMw,1,1,27.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Le nouveau truc pas écologique pas économique de Loréal. les femmes sont belles naturellement nous n&#39;avons pas besoin de cela. Surtout cela crame vos cheveux. Body naturel
UC3YuY04s8fwn3lNZxppB2hA,@ivyli6760,UC3YuY04s8fwn3lNZxppB2hA,1,4,25.0,0.0,0.0,0.8617,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,WHAT!? Omg just found video through my email from Loreal.<br>Can&#39;t believe I&#39;m like the 3rd person to comment lol Yay!! and now only 2.2k views
UC3cD0C0T6HaI41mqTYprCZw,@jaderoz22,UC3cD0C0T6HaI41mqTYprCZw,1,2,10.0,0.0,2.0,0.9376,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wow! This looks really cool, definitely adding to my cart!!❤"
