commentId,videoId,videoTitle,channelId,channelTitle,author,authorChannelId,text,publishedAt,updatedAt,likeCount,replyCount,parentId,isReply,text_clean,primary_emotion,vader_compound
UgxY3MW1tiwzsPxXG894AaABAg,_pO7BRNdJdc,,,,@taintedtaylor2586,UCkzxVkTc1OwJDi1b9V9Y7vw,"The White boy sinification policy has been going very well, thank you chairman Xi!",2025-09-20T01:15:49Z,2025-09-20T01:15:49Z,1,0,,False,"The White boy sinification policy has been going very well, thank you chairman Xi!",trust,0.6666
UgwkJvFnIy-iy965ihJ4AaABAg,_pO7BRNdJdc,,,,@JefeSahin,UCVDe0Zn82PfDdH9-Q0n277g,"hey YouTube, I miss you. Please bring more vids like this for everyone to see.",2025-09-20T01:07:10Z,2025-09-20T01:07:10Z,1,0,,False,"hey YouTube, I miss you. Please bring more vids like this for everyone to see.",sadness,0.539
UgwM8ZKcUCJH5czhfbZ4AaABAg,_pO7BRNdJdc,,,,@naldinhojoy,UC-jCj3HT0peph554SE_lvpQ,"Nihao grandpa, way to go",2025-09-20T01:02:37Z,2025-09-20T01:02:37Z,0,0,,False,"Nihao grandpa, way to go",neutral,0.0
Ugx1Tq5Y2rPJw9ANV5t4AaABAg,_pO7BRNdJdc,,,,@sunjay5712,UCBE4XGM2Nhb4jVIYc15wXhw,"love it, keep it up!",2025-09-20T00:53:28Z,2025-09-20T00:53:28Z,0,1,,False,"love it, keep it up!",joy,0.6696
Ugz-deVdh-QIaoCGxiB4AaABAg,_pO7BRNdJdc,,,,@zunsch,UCKNboXYTHcjDETKW9sNvtxQ,im from xiamen lol,2025-09-20T00:46:53Z,2025-09-20T00:46:53Z,0,0,,False,im from xiamen lol,neutral,0.4215
UgzWVvtZHKBSsM2jG1l4AaABAg,_pO7BRNdJdc,,,,@CrackinJacks138,UC3mBMPVHl1GneWEtGOdlsJA,"The next jimi Hendrix, youre a natural",2025-09-20T00:20:25Z,2025-09-20T00:20:25Z,0,1,,False,"The next jimi Hendrix, youre a natural",neutral,0.3612
Ugw4FBRtydR8XRMudqB4AaABAg,_pO7BRNdJdc,,,,@Draciel360,UCDZL0oQ-f7KbJWC0F2v7TkA,"Wonderful stuff, brought a smile to my face",2025-09-20T00:10:50Z,2025-09-20T00:10:50Z,0,0,,False,"Wonderful stuff, brought a smile to my face",joy,0.7351
Ugx2KzGvbf6WGo9Up9l4AaABAg,_pO7BRNdJdc,,,,@MeesterMahcus,UCHHfCmUA61LK09PmVNhj2ug,algo cookin with this brick added to the mix,2025-09-20T00:03:18Z,2025-09-20T00:03:18Z,0,0,,False,algo cookin with this brick added to the mix,neutral,0.0
UgzEREqFztbQBlIdE_R4AaABAg,_pO7BRNdJdc,,,,@goose_esooge,UCm-A692G48yV-y7iMukHODg,got my booty breathing,2025-09-19T23:13:09Z,2025-09-19T23:13:09Z,1,0,,False,got my booty breathing,neutral,0.0
UgwTr5F2yMU_5ZSETWN4AaABAg,_pO7BRNdJdc,,,,@ignaslt,UCYOeDWZ4-s8H1nyUBaguX6Q,Cool,2025-09-19T23:07:36Z,2025-09-19T23:07:36Z,0,0,,False,Cool,joy,0.3182
Ugx6OKVWgoUVK3iNHhF4AaABAg,_pO7BRNdJdc,,,,@vortal_coil,UCa_8fro10sQQgwdCIr-3d3g,"Beautiful music Jon, I bet LiLi really appreciated this!",2025-09-19T23:05:42Z,2025-09-19T23:05:42Z,0,1,,False,"Beautiful music Jon, I bet LiLi really appreciated this!",joy,0.831
UgytD2Yduo1wLCUCTOx4AaABAg,_pO7BRNdJdc,,,,@skillcranemaster,UCh8clXRv5-yh9qvazly-FjQ,The red sun shines down on comrade Peck.,2025-09-19T22:56:10Z,2025-09-19T22:56:10Z,1,0,,False,The red sun shines down on comrade Peck.,trust,0.0
UgxOtLgYGnuG1EMl0794AaABAg,_pO7BRNdJdc,,,,@daan2k,UCbl4THHajUTgxazJy0beFnA,thank you,2025-09-19T22:40:36Z,2025-09-19T22:40:36Z,0,0,,False,thank you,neutral,0.3612
UgyQcuHwtJ8Fefs8XI14AaABAg,_pO7BRNdJdc,,,,@otiliu258,UC6OKMcr8EitLaMGzN48Axmg,John Peck classic,2025-09-19T22:22:39Z,2025-09-19T22:22:39Z,0,0,,False,John Peck classic,anger,0.0
Ugw8s5MT02PHiF-Aeo54AaABAg,_pO7BRNdJdc,,,,@CuriousCG01,UCDQR1leXb2sPPF1YKEMn9Aw,Nice song. What a good recommendation,2025-09-19T21:35:40Z,2025-09-19T21:35:40Z,1,0,,False,Nice song. What a good recommendation,anticipation,0.6908
Ugz5p-bmjJZD6WNFmy54AaABAg,_pO7BRNdJdc,,,,@TheAllooSk,UCc_e981Xwr3FckJIdOQrzRA,Well done Jon!,2025-09-19T21:07:08Z,2025-09-19T21:07:08Z,2,1,,False,Well done Jon!,neutral,0.3382
UgxYNe8Velh5SCWGNIN4AaABAg,_pO7BRNdJdc,,,,@lyxivia,UC6wJvV3JhpQCVPqp_DAHExg,"incredible, marvellous even, what a performance <br><br>the instrument and outfit coalescing into one of the greatest pieces of art on the internet this year",2025-09-19T19:59:29Z,2025-09-19T19:59:29Z,14,3,,False,"incredible, marvellous even, what a performance <br><br>the instrument and outfit coalescing into one of the greatest pieces of art on the internet this year",anticipation,0.6369
UgzujbukdCrZGkQ1oHh4AaABAg,_pO7BRNdJdc,,,,@Wes-r6w4b,UCozSZfJ4vDYUeDevAeZGTWA,This is what it&#39;s all about.,2025-09-19T19:48:49Z,2025-09-19T19:48:49Z,0,0,,False,This is what it&#39;s all about.,neutral,0.0
UgzTV139iN18OhJZTwl4AaABAg,_pO7BRNdJdc,,,,@wille4781,UCJcUVP6OaW1iMlIxUIR8a0w,"LOVE FROM PAKISTAN <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",2025-09-19T19:35:08Z,2025-09-19T19:35:08Z,0,1,,False,"LOVE FROM PAKISTAN <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",joy,0.7125
Ugwx0vFb2XGyXzSWWHB4AaABAg,_pO7BRNdJdc,,,,@wheeljackx3,UCFzla-SSP7CoV4J54CVxkxg,I&#39;m waiting for the bus in 90°F weather and enjoying this in front of a powerline,2025-09-19T18:55:43Z,2025-09-19T18:55:43Z,0,0,,False,I&#39;m waiting for the bus in 90°F weather and enjoying this in front of a powerline,anticipation,0.5267
UgyZ-UmQ6di0XPKJXd14AaABAg,_pO7BRNdJdc,,,,@y9y-f9q,UCuQY9fkivzvtNfW6Vup5qWA,I watched the whole thing. Really nice,2025-09-19T18:50:21Z,2025-09-19T18:50:21Z,1,1,,False,I watched the whole thing. Really nice,joy,0.4754
UgxWXOBExS-7-d9jx-Z4AaABAg,_pO7BRNdJdc,,,,@ididntstartthefire928,UCTSI8PwEKAUMYFQCm47wmnQ,"me after ordering a bottle of tsingtao, har gow and saying shie shie to the waiter:",2025-09-19T18:06:26Z,2025-09-19T18:06:26Z,0,1,,False,"me after ordering a bottle of tsingtao, har gow and saying shie shie to the waiter:",neutral,0.0
UgwWCpwYWErpROZvmM14AaABAg,_pO7BRNdJdc,,,,@Glash_,UCNpqv2Eg6ay3Nyr1vZ7Af1Q,My culture! 👍,2025-09-19T17:49:13Z,2025-09-19T17:49:13Z,0,0,,False,My culture! 👍,anger,0.0
UgxV2y4XL0Jkvm46Lm14AaABAg,_pO7BRNdJdc,,,,@Squidward_Tikiland,UCaXYsmOZWZSyxjBMxXJ8l4A,Social credit score +1000,2025-09-19T17:21:51Z,2025-09-19T17:21:51Z,1,0,,False,Social credit score +1000,anticipation,0.3818
UgwbfX4BTuWSbMYbJCl4AaABAg,_pO7BRNdJdc,,,,@highbaloonsintheskies,UCzv5NvROiGuwIH0uu28fMsA,Mythical algorithm pull,2025-09-19T16:59:45Z,2025-09-19T16:59:45Z,0,0,,False,Mythical algorithm pull,anger,0.0
Ugw-P5gVUgl1-U2CrSl4AaABAg,_pO7BRNdJdc,,,,@Aren6,UCfodtDLz8Sj6rEExnZCeXYg,Beautiful playing Mr. Peck,2025-09-19T16:48:10Z,2025-09-19T16:48:10Z,1,0,,False,Beautiful playing Mr. Peck,neutral,0.6908
Ugx5RA5Axf3QfW8RrX14AaABAg,_pO7BRNdJdc,,,,@river_of_light,UCYq53TcStidn-McI17IQ3eA,You rock man! Ni Hao!,2025-09-19T16:35:11Z,2025-09-19T16:35:11Z,0,0,,False,You rock man! Ni Hao!,anger,0.0
UgxMus7FkM2mziRvkhx4AaABAg,_pO7BRNdJdc,,,,@uphillwalrus5164,UCeFZWnORNegYXq-j4hK5_zQ,Hell yeah,2025-09-19T16:19:27Z,2025-09-19T16:19:27Z,0,0,,False,Hell yeah,neutral,-0.5267
UgzP2sghHqr-9GRSyqF4AaABAg,_pO7BRNdJdc,,,,@Tnuki-yd4sj,UCS9LstkaIGT9IF8lYz0qh1g,Authentic and whimsical. Feels like a breath of fresh air here.,2025-09-19T15:40:44Z,2025-09-19T15:40:44Z,2,0,,False,Authentic and whimsical. Feels like a breath of fresh air here.,joy,0.6249
UgxHCh7a6Wf4AWbd74x4AaABAg,_pO7BRNdJdc,,,,@DudeNamedDude1776,UCAEigUYxqHSvmUn-NB_eMQg,If I had a time machine I&#39;d send him back to like 1400&#39;s China and he&#39;d become their Elvis. We&#39;d be hearing about the legends of Jon Peck.,2025-09-19T15:13:10Z,2025-09-19T15:13:10Z,9,1,,False,If I had a time machine I&#39;d send him back to like 1400&#39;s China and he&#39;d become their Elvis. We&#39;d be hearing about the legends of Jon Peck.,anticipation,0.3612
Ugy9QwvbXewCf7_EgAx4AaABAg,_pO7BRNdJdc,,,,@ladyarthuria,UCSxu9zgfR4-qdWlst43feaw,He should duet with John Xina,2025-09-19T14:29:04Z,2025-09-19T14:29:04Z,0,0,,False,He should duet with John Xina,anger,0.0
