cluster,size,avg_comments,avg_sentiment
0,103,1.0388349514563107,0.3348480582524272
1,82,1.024390243902439,0.46261341463414635
2,149,1.0469798657718121,0.4523208053691275
3,60,1.0333333333333334,0.6689833333333334
4,125,1.048,0.42337040000000004
5,10,1.0,0.08704000000000002
6,9,1.0,0.4170333333333333
7,14,1.0,0.5061214285714286
8,27,2.888888888888889,0.5096028395061728
